/root/miniconda3/bin/python /root/autodl-tmp/combined/pointnet.pytorch-master-3.16/utils/train_classification.py
bash: line 0: cd: /root/autodl-tmp/combined/pointnet-master/utils: No such file or directory
/root/autodl-tmp/combined/pointclip_sch/clip/clip.py:23: UserWarning: PyTorch version 1.7.1 or higher is recommended
  warnings.warn("PyTorch version 1.7.1 or higher is recommended")
Namespace(backbone='', batchSize=100, config_file='/root/autodl-tmp/combined/pointclip_sch/configs/trainers/PointCLIP_ZS/rn50.yaml', dataset='/root/autodl-tmp/combined/data/scanobjectnn', dataset_config_file='/root/autodl-tmp/combined/pointclip_sch/configs/datasets/scanobjectnn.yaml', dataset_type='scanobjectnn', feature_transform=False, model='', nepoch=200, num_points=2500, opts=[], outf='cls', output_dir='output/PointCLIP_ZS/rn50/scanobjectnn', resume='', seed=2, trainer='PointCLIP_ZS', workers=4, zero_shot=True)
Random Seed:  1191
{'bag': 0, 'bin': 1, 'box': 2, 'cabinet': 3, 'chair': 4, 'desk': 5, 'display': 6, 'door': 7, 'shelf': 8, 'table': 9, 'bed': 10, 'pillow': 11, 'sink': 12, 'sofa': 13, 'toilet': 14}
{'bag': 0, 'bin': 1, 'box': 2, 'cabinet': 3, 'chair': 4, 'desk': 5, 'display': 6, 'door': 7, 'shelf': 8, 'table': 9, 'bed': 10, 'pillow': 11, 'sink': 12, 'sofa': 13, 'toilet': 14}
25261 3475
classes 15
Loading evaluator: Classification
/root/miniconda3/lib/python3.8/site-packages/torch/nn/functional.py:2952: UserWarning: nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.
  warnings.warn("nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.")
/root/miniconda3/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:131: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
[Epoch 38] Train loss: 0.837, accuracy: 0.805
[Epoch 38] Test loss: 2.170, accuracy: 0.609
[Epoch 39] Train loss: 0.801, accuracy: 0.822
[Epoch 39] Test loss: 2.114, accuracy: 0.613
[Epoch 40] Train loss: 0.781, accuracy: 0.829
[Epoch 40] Test loss: 2.119, accuracy: 0.602
[Epoch 41] Train loss: 0.778, accuracy: 0.830
[Epoch 41] Test loss: 2.191, accuracy: 0.596
[Epoch 42] Train loss: 0.766, accuracy: 0.837
[Epoch 42] Test loss: 2.188, accuracy: 0.606
[Epoch 43] Train loss: 0.762, accuracy: 0.839
[Epoch 43] Test loss: 2.141, accuracy: 0.617
[Epoch 44] Train loss: 0.750, accuracy: 0.842
[Epoch 44] Test loss: 2.217, accuracy: 0.607
[Epoch 45] Train loss: 0.748, accuracy: 0.842
[Epoch 45] Test loss: 2.128, accuracy: 0.616
[Epoch 46] Train loss: 0.743, accuracy: 0.846
[Epoch 46] Test loss: 2.262, accuracy: 0.596
[Epoch 47] Train loss: 0.738, accuracy: 0.846
[Epoch 47] Test loss: 2.321, accuracy: 0.607
[Epoch 48] Train loss: 0.728, accuracy: 0.848
[Epoch 48] Test loss: 2.161, accuracy: 0.628
[Epoch 49] Train loss: 0.721, accuracy: 0.851
[Epoch 49] Test loss: 2.199, accuracy: 0.600
[Epoch 50] Train loss: 0.722, accuracy: 0.852
[Epoch 50] Test loss: 2.248, accuracy: 0.581
[Epoch 51] Train loss: 0.712, accuracy: 0.856
[Epoch 51] Test loss: 2.229, accuracy: 0.611
[Epoch 52] Train loss: 0.708, accuracy: 0.856
[Epoch 52] Test loss: 2.199, accuracy: 0.620
[Epoch 53] Train loss: 0.702, accuracy: 0.859
[Epoch 53] Test loss: 2.298, accuracy: 0.572
[Epoch 54] Train loss: 0.698, accuracy: 0.862
[Epoch 54] Test loss: 2.285, accuracy: 0.591
[Epoch 55] Train loss: 0.692, accuracy: 0.862
[Epoch 55] Test loss: 2.221, accuracy: 0.604
[Epoch 56] Train loss: 0.696, accuracy: 0.863
[Epoch 56] Test loss: 2.297, accuracy: 0.588
[Epoch 57] Train loss: 0.688, accuracy: 0.868
[Epoch 57] Test loss: 2.283, accuracy: 0.605
[Epoch 58] Train loss: 0.685, accuracy: 0.867
[Epoch 58] Test loss: 2.246, accuracy: 0.605
[Epoch 59] Train loss: 0.658, accuracy: 0.877
[Epoch 59] Test loss: 2.294, accuracy: 0.605
[Epoch 60] Train loss: 0.654, accuracy: 0.880
[Epoch 60] Test loss: 2.308, accuracy: 0.603
[Epoch 61] Train loss: 0.650, accuracy: 0.882
[Epoch 61] Test loss: 2.228, accuracy: 0.616
[Epoch 62] Train loss: 0.638, accuracy: 0.887
[Epoch 62] Test loss: 2.316, accuracy: 0.603
[Epoch 63] Train loss: 0.638, accuracy: 0.887
[Epoch 63] Test loss: 2.319, accuracy: 0.604
[Epoch 64] Train loss: 0.638, accuracy: 0.886
[Epoch 64] Test loss: 2.306, accuracy: 0.614
[Epoch 65] Train loss: 0.636, accuracy: 0.886
[Epoch 65] Test loss: 2.279, accuracy: 0.606
[Epoch 66] Train loss: 0.633, accuracy: 0.886
[Epoch 66] Test loss: 2.298, accuracy: 0.619
[Epoch 67] Train loss: 0.625, accuracy: 0.892
[Epoch 67] Test loss: 2.314, accuracy: 0.610
[Epoch 68] Train loss: 0.629, accuracy: 0.890
[Epoch 68] Test loss: 2.329, accuracy: 0.621
[Epoch 69] Train loss: 0.623, accuracy: 0.892
[Epoch 69] Test loss: 2.323, accuracy: 0.616
[Epoch 70] Train loss: 0.620, accuracy: 0.894
